馃摗  鏇存柊鏃ユ湡,#genre#
CCTV5+,http://ycsj.aguihome.com:4022/rtp/233.50.201.220:5140
CCTV6,http://ycsj.aguihome.com:4022/rtp/233.50.201.198:5140
CCTV7,http://ycsj.aguihome.com:4022/rtp/233.50.201.120:5140
CCTV8,http://ycsj.aguihome.com:4022/rtp/233.50.201.199:5140
CCTV9,http://ycsj.aguihome.com:4022/rtp/233.50.201.121:5140
CCTV10,http://ycsj.aguihome.com:4022/rtp/233.50.201.122:5140
CCTV11,http://ycsj.aguihome.com:4022/rtp/233.50.200.132:5140
CCTV12,http://ycsj.aguihome.com:4022/rtp/233.50.201.123:5140
CCTV13,http://ycsj.aguihome.com:4022/rtp/233.50.201.246:5140
CCTV14,http://ycsj.aguihome.com:4022/rtp/233.50.201.124:5140
CCTV15,http://ycsj.aguihome.com:4022/rtp/233.50.200.133:5140
CCTV16,http://ycsj.aguihome.com:4022/rtp/233.50.200.112:5140
CCTV17,http://ycsj.aguihome.com:4022/rtp/233.50.200.113:5140

CCTV1,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV1HD
CCTV2,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV2HD
CCTV3,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV3HD
CCTV4,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV4HD
CCTV5,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV5HD
CCTV5+,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV5_HD
CCTV6,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV6HD
CCTV7,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV7HD
CCTV8,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV8HD
CCTV9,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV9HD
CCTV10,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV10HD
CCTV11,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV11
CCTV12,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV12HD
CCTV13,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV13
CCTV14,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV14HD
CCTV15,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV15
CCTV16,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV16HD
CCTV17,http://live.nctv.top/JKHdjsi/wntv.php?id=CCTV17HD

馃摗  鍗棰戦亾,#genre#
婀栧崡鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873458.m3u8
鍖椾含鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003870776.m3u8
涓滄柟鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873462.m3u8
娴欐睙鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873464.m3u8
姹熻嫃鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873461.m3u8
骞夸笢鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873459.m3u8
姹熻タ鍗,http://27.19.54.57:34567/bptv/10000100000000050000000004796511.m3u8
娣卞湷鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873474.m3u8
涓滃崡鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873473.m3u8
澶╂触鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873466.m3u8
瀹夊窘鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873469.m3u8
灞变笢鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873467.m3u8
杈藉畞鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873468.m3u8
娌冲寳鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873460.m3u8
娌冲崡鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003887270.m3u8
婀栧寳鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873465.m3u8
閲嶅簡鍗,http://27.19.54.57:34567/bptv/10000100000000050000000004796458.m3u8
璐靛窞鍗,http://27.19.54.57:34567/bptv/10000100000000050000000003873471.m3u8
鍚夋灄鍗,http://27.19.54.57:34567/bptv/10000100000000050000000004972569.m3u8
榛戦緳姹熷崼瑙�,http://27.19.54.57:34567/bptv/10000100000000050000000003873470.m3u8


婀栧崡鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=086
鍖椾含鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=083
骞夸笢鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=092
涓滄柟鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=093
娴欐睙鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=094
姹熻嫃鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=085
姹熻タ鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=098
澶╂触鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=084
杈藉畞鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=058
榛戦緳姹熷崼瑙�,http://live.nctv.top/JKHdjsi/bfgd.php?id=095
鍚夋灄鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=097
瀹夊窘鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=096
灞变笢鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=099
璐靛窞鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=101
娣卞湷鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=100
婀栧寳鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=102
鍥涘窛鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=103
娌冲崡鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=104
閲嶅簡鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=107
灞辫タ鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=109
娌冲寳鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=108
娌冲崡鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=339
娴峰崡鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=473
浜戝崡鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=482
涓滃崡鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=483
闄曡タ鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=512
闈掓捣鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=111
鍐呰挋鍙ゅ崼瑙�,http://live.nctv.top/JKHdjsi/bfgd.php?id=110
骞胯タ鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=116
浜戝崡鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=115
瀹佸鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=118
闄曡タ鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=114
寤惰竟鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=117
鐢樿們鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=119
瑗胯棌鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=121
鍐滄灄鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=122
鍏靛洟鍗,http://live.nctv.top/JKHdjsi/bfgd.php?id=124
鍖椾含鍗4K,http://live.nctv.top/JKHdjsi/bfgd.php?id=643

婀栧崡鍗,http://www.xiaomo520.cn:4020/udp/239.252.219.201:5140
鍖椾含鍗,http://www.xiaomo520.cn:4020/udp/239.252.219.206:5140
娴欐睙鍗,http://www.xiaomo520.cn:4020/udp/239.252.219.210:5140
涓滄柟鍗,http://www.xiaomo520.cn:4020/udp/239.252.219.229:5140
娣卞湷鍗,http://www.xiaomo520.cn:4020/udp/239.252.219.212:5140
姹熻タ鍗,http://www.xiaomo520.cn:4020/udp/239.252.220.63:5140
骞夸笢鍗,http://www.xiaomo520.cn:4020/udp/239.252.219.213:5140
姹熻嫃鍗,http://www.xiaomo520.cn:4020/udp/239.252.219.214:5140
婀栧寳鍗,http://www.xiaomo520.cn:4020/udp/239.252.219.208:5140
娴峰崡鍗,http://www.xiaomo520.cn:4020/udp/239.252.219.178:5140
涓滃崡鍗,http://www.xiaomo520.cn:4020/udp/239.252.220.82:5140
榛戦緳姹熷崼瑙�,http://www.xiaomo520.cn:4020/udp/239.252.219.211:5140
